#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-24T19:37:23 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d8a705d69a9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/695/679&tab:{J/ApJ/695/679/table2}&key:source=J/ApJ/695/679&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/695/679/table2
#-order=I
#-out=Prot
#-out=V0mag
#Simbad=Simbad
#
#
#RESOURCE=yCat_16950679
#Name: J/ApJ/695/679
#Title: Stellar rotation in M35 (Meibom+, 2009)
#Table	J_ApJ_695_679_table2:
#Name: J/ApJ/695/679/table2
#Title: Data for the 441 stars with measured rotation periods in the field of M35
#Column	Prot	(F6.3)	Rotation period	[ucd=time.period]
#Column	V0mag	(F5.2)	Intrinsic apparent V band magnitude	[ucd=phot.mag;em.opt.V]
Prot	Vmag
 0.582	18.19
 0.596	15.35
 0.596	13.89
 0.597	12.51
 0.623	17.40
 0.624	16.04
 0.629	16.24
 0.631	16.89
 0.636	16.75
 0.651	18.54
 0.654	15.65
 0.662	16.45
 0.691	12.68
 0.691	16.21
 0.698	16.89
 0.699	15.71
 0.716	16.37
 0.716	16.36
 0.728	16.67
 0.739	16.79
 0.739	17.18
 0.754	17.70
 0.755	18.35
 0.765	16.54
 0.766	13.57
 0.766	17.79
 0.781	12.30
 0.809	17.48
 0.831	13.02
 0.832	14.25
 0.852	16.72
 0.859	17.18
 0.873	16.65
 0.874	15.87
 0.877	18.79
 0.879	12.69
 0.882	15.76
 0.901	16.23
 0.914	16.87
 0.933	16.13
 0.933	15.97
 0.952	15.90
 0.971	16.30
 0.984	15.19
 0.994	16.38
 1.006	15.43
 1.033	18.31
 1.044	16.28
 1.071	13.85
 1.077	15.73
 1.087	18.09
 1.101	15.68
 1.109	15.74
 1.111	14.70
 1.134	13.35
 1.139	15.04
 1.165	16.70
 1.185	17.39
 1.185	16.15
 1.231	14.11
 1.240	16.76
 1.275	15.07
 1.282	13.34
 1.288	15.32
 1.329	15.25
 1.336	16.37
 1.351	14.38
 1.358	15.62
 1.377	16.07
 1.381	14.21
 1.404	12.95
 1.412	17.06
 1.510	13.90
 1.665	17.82
 1.671	14.67
 1.688	15.01
 1.778	14.04
 1.830	13.92
 1.837	16.56
 1.864	16.70
 1.914	13.94
 1.929	14.35
 2.055	15.47
 2.055	14.53
 2.098	13.47
 2.143	16.05
 2.143	15.56
 2.162	15.15
 2.209	13.02
 2.290	16.06
 2.333	15.35
 2.344	14.11
 2.389	13.36
 2.389	14.33
 2.400	15.35
 2.435	12.39
 2.476	14.37
 2.508	14.10
 2.521	14.26
 2.534	16.61
 2.547	16.97
 2.560	14.14
 2.599	12.22
 2.599	14.75
 2.683	16.61
 2.683	14.60
 2.697	14.19
 2.742	14.38
 2.788	13.55
 2.835	14.42
 2.835	15.73
 2.851	14.16
 2.868	14.28
 2.884	14.16
 2.918	14.52
 2.918	14.44
 2.952	17.43
 3.079	16.51
 3.079	16.59
 3.118	12.39
 3.197	14.46
 3.197	14.43
 3.218	14.62
 3.218	16.15
 3.303	14.43
 3.347	17.91
 3.347	13.94
 3.392	14.27
 3.415	14.23
 3.439	14.68
 3.463	17.91
 3.463	15.29
 3.511	14.67
 3.561	14.49
 3.561	14.69
 3.587	16.41
 3.587	17.22
 3.612	14.21
 3.692	17.18
 3.692	14.71
 3.710	14.87
 3.720	14.34
 3.720	14.38
 3.748	15.68
 3.776	18.00
 3.776	14.57
 3.776	17.58
 3.805	18.84
 3.834	18.51
 3.864	17.17
 3.864	14.56
 3.924	14.54
 3.955	14.84
 3.955	14.58
 3.955	14.55
 3.986	14.46
 3.986	14.71
 3.986	14.41
 4.187	14.94
 4.222	14.57
 4.258	14.63
 4.258	14.73
 4.258	14.96
 4.294	14.75
 4.332	14.68
 4.332	14.55
 4.369	15.23
 4.408	15.26
 4.447	14.55
 4.447	15.00
 4.487	15.02
 4.487	14.86
 4.527	16.24
 4.527	14.97
 4.569	16.37
 4.611	14.96
 4.611	13.55
 4.654	15.23
 4.654	16.94
 4.697	15.15
 4.697	15.09
 4.742	14.91
 4.742	14.19
 4.742	14.59
 4.787	16.29
 4.833	18.49
 4.833	14.81
 4.833	15.01
 4.929	14.43
 4.929	15.07
 4.978	18.27
 5.028	15.16
 5.028	15.05
 5.079	18.15
 5.079	14.88
 5.131	16.67
 5.184	17.23
 5.238	15.12
 5.248	14.93
 5.293	17.53
 5.293	13.16
 5.408	15.06
 5.467	14.88
 5.467	15.16
 5.467	15.85
 5.527	15.04
 5.527	16.93
 5.527	15.30
 5.527	15.09
 5.527	15.24
 5.589	15.96
 5.589	16.39
 5.652	15.30
 5.652	15.44
 5.652	17.68
 5.652	15.16
 5.652	15.36
 5.717	15.14
 5.717	16.01
 5.717	15.20
 5.783	17.51
 5.783	15.71
 5.783	17.59
 5.783	16.52
 5.783	16.52
 5.783	16.75
 5.783	15.33
 5.783	15.26
 5.783	15.41
 5.783	15.30
 5.850	16.16
 5.850	15.06
 5.919	15.38
 5.919	15.71
 5.919	14.46
 5.919	15.26
 5.919	16.62
 5.990	15.25
 5.990	16.07
 6.029	14.37
 6.137	16.86
 6.137	15.60
 6.137	13.21
 6.137	15.44
 6.137	13.20
 6.137	14.83
 6.213	16.49
 6.291	15.34
 6.291	15.66
 6.291	15.54
 6.372	15.71
 6.372	15.32
 6.372	17.71
 6.372	18.21
 6.372	17.30
 6.454	15.46
 6.454	17.13
 6.454	15.45
 6.538	15.57
 6.538	15.87
 6.538	16.95
 6.538	16.55
 6.538	15.64
 6.538	15.52
 6.538	16.31
 6.538	17.66
 6.625	17.20
 6.625	18.17
 6.625	15.77
 6.625	15.92
 6.805	17.77
 6.805	15.62
 6.805	15.89
 6.805	12.62
 6.805	18.72
 6.805	15.70
 6.898	16.44
 6.898	15.46
 6.898	15.89
 6.995	16.50
 6.995	15.16
 6.995	16.74
 6.995	15.88
 6.995	17.96
 6.995	15.16
 7.301	17.29
 7.301	15.93
 7.301	17.09
 7.301	16.07
 7.409	16.99
 7.520	16.08
 7.520	16.06
 7.520	16.12
 7.520	13.65
 7.520	16.27
 7.520	15.90
 7.635	17.79
 7.635	17.46
 7.753	15.97
 7.753	13.71
 7.875	16.40
 7.875	16.26
 8.001	13.22
 8.001	16.48
 8.001	17.04
 8.001	15.97
 8.001	16.53
 8.131	16.36
 8.131	17.25
 8.265	14.86
 8.265	15.60
 8.404	12.28
 8.404	16.07
 8.404	16.05
 8.404	14.51
 8.404	16.10
 8.547	17.83
 8.547	16.58
 8.547	14.91
 8.547	17.72
 8.696	17.06
 8.696	16.55
 8.696	17.38
 8.696	13.29
 8.696	17.13
 8.850	16.50
 8.850	17.20
 8.850	17.01
 9.174	16.37
 9.174	16.58
 9.345	16.88
 9.345	17.13
 9.468	18.16
 9.523	16.86
 9.523	18.42
 9.708	17.04
 9.708	17.09
 9.708	17.12
 9.900	15.51
10.132	14.74
10.308	14.65
10.308	16.94
10.986	14.99
11.233	17.35
12.044	15.98
12.652	13.72
13.326	13.33
13.691	13.80
13.691	15.47
14.483	12.40
14.915	16.37
15.373	16.08
15.373	14.94
17.605	15.20
23.215	13.56
52.465	15.18
58.464	16.76

